GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rhsoft,br.com.gabriel.rhsoft.models.previouspages,WorkerList,21,0,2,0,7,0,3,0,2,0
rhsoft,br.com.gabriel.rhsoft.models.previouspages,ListToAdd,34,0,2,0,8,0,3,0,2,0
rhsoft,br.com.gabriel.rhsoft.models.previouspages,PreviousPageInfo,15,3,0,0,6,1,3,1,3,1
rhsoft,br.com.gabriel.rhsoft.daos,CompanyDAO,20,3,0,0,6,1,3,1,3,1
rhsoft,br.com.gabriel.rhsoft.daos,WorkersDAO,101,3,0,0,22,1,7,1,7,1
rhsoft,br.com.gabriel.rhsoft.daos,SetupDAO,42,3,0,0,9,1,2,1,2,1
rhsoft,br.com.gabriel.rhsoft.daos,UsuarioDAO,31,3,2,0,5,1,2,1,1,1
rhsoft,br.com.gabriel.rhsoft.daos,DepartmentsDAO,39,3,0,0,9,1,4,1,4,1
rhsoft,br.com.gabriel.rhsoft.controllers,SetupDB,28,3,0,0,6,1,1,1,1,1
rhsoft,br.com.gabriel.rhsoft.controllers,DepartmentsController,104,3,4,0,21,1,9,1,7,1
rhsoft,br.com.gabriel.rhsoft.controllers,HomeController,0,5,0,0,0,2,0,2,0,2
rhsoft,br.com.gabriel.rhsoft.controllers,WorkerController,184,3,4,0,36,1,11,1,9,1
rhsoft,br.com.gabriel.rhsoft.controllers,LoginController,2,3,0,0,1,1,1,1,1,1
rhsoft,br.com.gabriel.rhsoft.controllers,CompanyControllers,19,3,0,0,6,1,3,1,3,1
rhsoft,br.com.gabriel.rhsoft.models,Worker,58,8,0,0,24,2,15,1,15,1
rhsoft,br.com.gabriel.rhsoft.models,Role,6,0,0,0,2,0,2,0,2,0
rhsoft,br.com.gabriel.rhsoft.models,ExposedCompany,32,3,4,0,10,1,7,1,5,1
rhsoft,br.com.gabriel.rhsoft.models,Company,30,8,0,0,12,2,8,1,8,1
rhsoft,br.com.gabriel.rhsoft.models,Usuario,28,0,0,0,10,0,9,0,9,0
rhsoft,br.com.gabriel.rhsoft.models,Department,87,8,14,0,30,2,18,1,11,1
rhsoft,br.com.gabriel.rhsoft.conf,ServletSpringMVC,75,0,0,0,13,0,7,0,7,0
rhsoft,br.com.gabriel.rhsoft.conf,AppWebConfiguration,0,113,0,0,0,28,0,10,0,10
rhsoft,br.com.gabriel.rhsoft.conf,JPAConfiguration,18,59,0,0,6,15,1,4,1,4
rhsoft,br.com.gabriel.rhsoft.conf,SecurityConfiguration,53,0,0,0,11,0,3,0,3,0
rhsoft,br.com.gabriel.rhsoft.conf,SpringSecurityFilterConfiguration,31,0,0,0,6,0,2,0,2,0
rhsoft,br.com.gabriel.rhsoft.conf,JsonViewResolver,0,12,0,0,0,4,0,2,0,2
